AED,United Arab Emirates dirham,Dhs.,2,PERIOD,COMMA
AFN,Afghan afghani,؋,2,PERIOD,COMMA
ALL,Albanian lek,Lek,2,PERIOD,COMMA
AMD,Armenian dram,Դ,2,PERIOD,COMMA
ANG,Netherlands Antillean guilder,ƒ,2,COMMA,SPACE
AOA,Angolan kwanza,AOA,2,PERIOD,COMMA
ARS,Argentine peso,$,2,COMMA,SPACE
AUD,Australian dollar,$,2,PERIOD,COMMA
AWG,Aruban florin,ƒ,2,PERIOD,COMMA
AZN,Azerbaijani manat,ман,2,PERIOD,COMMA
BAM,Bosnia and Herzegovina convertible mark,KM,2,PERIOD,COMMA
BBD,Barbados dollar,$,2,COMMA,SPACE
BDT,Bangladeshi taka,৳,2,COMMA,SPACE
BGN,Bulgarian lev,лв,2,PERIOD,COMMA
BHD,Bahraini dinar,BD,3,PERIOD,COMMA
BIF,Burundian franc,FBu,0,PERIOD,COMMA
BMD,Bermudian dollar,$,2,PERIOD,COMMA
BND,Brunei dollar,$,2,PERIOD,COMMA
BOB,Boliviano,$b,2,PERIOD,COMMA
BRL,Brazilian real,R$,2,COMMA,SPACE
BSD,Bahamian dollar,$,2,PERIOD,COMMA
BTN,Bhutanese ngultrum,BTN,2,PERIOD,COMMA
BWP,Botswana pula,P,2,PERIOD,COMMA
BYR,Belarusian ruble,Br,0,PERIOD,COMMA
BZD,Belize dollar,BZ$,2,PERIOD,COMMA
CAD,Canadian dollar,$,2,PERIOD,COMMA
CDF,Congolese franc,CDF,2,PERIOD,COMMA
CHF,Swiss franc,Fr.,2,COMMA,SPACE
CLP,Chilean peso,$,0,PERIOD,COMMA
CNY,Chinese yuan,¥,2,PERIOD,COMMA
COP,Colombian peso,$,2,COMMA,SPACE
COU,Unidad de Valor Real,COU,2,PERIOD,COMMA
CRC,Costa Rican colon,₡,2,COMMA,SPACE
CUC,Cuban convertible peso,CUC,2,PERIOD,COMMA
CUP,Cuban peso,₱,2,PERIOD,COMMA
CVE,Cape Verde escudo,CVE,0,PERIOD,COMMA
CZK,Czech koruna,Kč,2,COMMA,SPACE
DJF,Djiboutian franc,Fdj,0,PERIOD,COMMA
DKK,Danish krone,kr,2,COMMA,SPACE
DOP,Dominican peso,RD$,2,COMMA,SPACE
DZD,Algerian dinar,DZD,2,PERIOD,COMMA
EGP,Egyptian pound,£,2,PERIOD,COMMA
ERN,Eritrean nakfa,ERN,2,PERIOD,COMMA
ETB,Ethiopian birr,Br,2,PERIOD,COMMA
EUR,Euro,€,2,COMMA,SPACE
FJD,Fiji dollar,$,2,PERIOD,COMMA
FKP,Falkland Islands pound,£,2,PERIOD,COMMA
GBP,Pound sterling,£,2,PERIOD,COMMA
GEL,Georgian lari,GEL,2,PERIOD,COMMA
GHS,Ghanaian cedi,GH₵,2,PERIOD,COMMA
GIP,Gibraltar pound,£,2,PERIOD,COMMA
GMD,Gambian dalasi,GMD,2,PERIOD,COMMA
GNF,Guinean franc,GNF,0,PERIOD,COMMA
